text_clean,true_label,pred_label,is_correct,text_length,Score
"i have a 2.5 year old chocolate lab. she had eaten eukanuba her whole life. after reading some dog food reviews (this is rated much higher) and finding this comparable price wise i decided to make the switch. as with switching any food you should ween the dog off the old food by adding a mixture of the old and new or you will have a mess. she loves this food much more than the eukanuba. i would have rated the product 5 star but this food does give her awful gas (due to higher protein content, i think) and her breathe doesn't smell the best. i've been able to combat the breath with ""fresh breath"" dog treats. the gas can be helped, not solved, by an assortment of candles, sprays, etc. i will continue to buy this food and have it delivered to my house via amazon. loving this setup.<br /><br />update: i have since switched to purina one healthy weight. lab ended up gaining weight during the time she ate this food. has since lost 4 pounds in 3 weeks eating purina one. not loving this setup anymore.",negative,positive,False,1008,2
i was surprised with the unanimous good rating of this product. guests at our inn thought this is strictly a cereal for very young children. we were surprised that the cereal mix had a large percentage of corn flakes!!,negative,positive,False,218,2
"just make plain sweet potatoes. i can;t buy these because my dog is highly allergic to chicken, eggs and everything dairy.",negative,positive,False,122,1
"i just tried this for the first time this weekend. i was an artist at a festival and it was supplied to the musicians. i liked the taste ok (a little too sweet) but when i read that each can contains 28 grams of sugar, i think i know where everyone was getting their energy from. there's no need for so much sugar. mate is a great drink just plain and in my view, it's not a great plan to subvert all its health benefits with the equivalent of almost 3 krispy kreme donuts. i realize that a lot of people might not like it without all the sugar, but a lot of us would like it just fine unsweetened and our insulin levels and the size of our posteriors would thank guayaki. i would give an unsweetened version 5 stars.",negative,positive,False,717,2
"i drink this coffee like crack when in europe and always manage to bring a couple jars back with me. for instant coffee, the taste is superb - you don't want to drink anything else, but i can't justify paying this much for one small jar of instant coffee.<br /><br />completely agree with soldierman's review - the taste deserves 5 stars, and if you happen to find them while outside of the states, it probably would be cheaper to just buy a bunch and ship them back to yourself!<br /><br />for the time being, i'll hold myself over with 2 pack of the ground version from amazon and see how that compares ($20 for a total of 17.6 oz - about 500 grams), because my husband and i are seriously in withdrawal for that coffee. time to break out the coffee press! yes, it's that good.<br /><br />kraft owns this brand, you'd think they would release it in the states, too. :(",negative,positive,False,870,2
"we have bought earth's best organic baby food in a department store previously. after discovering our baby liked it, we went to amazon to compare prices and larger quantities.<br /><br />the baby food is great, no complaints at all. the packaging was sub par. the first thing we noticed was the exterior box wasnt taped or sealed ( it was a clamshell type box that folds over and you insert part of the box back into itself - anyone could have opened the package and closed it again). the jars are shrink wrapped with a cardboard base. the exterior packaging appears undamaged.<br /><br />inside there were broken jars of food - and grocery items are not returnable. we have contacted amazon's customer service and am waiting a response.",positive,negative,False,737,4
"i still do not understand all the hype on franks hot sauce. it has a very strong biting taste that is not very desirable. i went out looking for a new wing sauce and came across ashanti chicken wing sauce. it was everything i was looking for, heat and incredible flavor. i do not have to look anymore, i found the perfect sauce.",positive,negative,False,328,5
"started supplementing formula for my son at 10 months. i couldn't keep up with the demand. i tried enfamil and similac and my son would literally vomit after a few swigs. i would try to trick him, give him expressed breast milk in a bottle then switch to the enfamil. he would vomit the whole thing up after spending a couple of seconds gagging. i was really stressed out about what i was going to do next, just feed him what i could produce or try to find something else. after many hours of research, i settled on baby's first. i was going to get earth's best at first but was confused about the dha added to the formula. i gave my daughter enfamil with dha but didn't know there was controversy over the dha extraction process. i just thought i would skip the dha all together and try baby's first. the first night i gave it to him, he drank the whole bottle and proceeded to drink about 36 oz in addition to breastmilk in 24 hours. i know that's way too much but i just thought maybe he was really hungry from my lack of supply. now he drinks the normal amount. i make 16 oz of formula at one time and mix in about 8-12 oz of expressed breast milk. in the beginning, he would take 50% breast milk and 50% formula, now we are about 30/60. he doesn't seem to notice a difference between the two. he's been on it a month now.<br /><br />i know that there have been reviews about the formula not mixing in well, i don't have that problem. i don't think its anymore difficult or extra foamy compared to enfamil or similac. however, i do heat up about 16 oz of water then wisk in the 8 scoops of formula. i emailed to request scoops (which were not included in the first 3 cans i bought) but then i noticed that scoops were included in cans that were sent from amazon. i think they just started putting them in. another thing that i noticed was that baby's first smelled really good. i tried the enfamil and gagged myself, it really smells and taste awful. baby's first smells yummy, has vanilla in it. i gave it a 5 just because my son drinks it and doesn't give me any problems. plus, its cheaper than the other brands, which took me completely by surprise seeing how it is organic and not readily available. i found it at wholefoods, vitamin city, amazon and diapers.com.",positive,negative,False,2272,5
i haven't used this enough yet to decide how i feel but so far so good. just need a little more time,negative,positive,False,100,2
"the chocolate layer on these expresso beans is much thicker, softer, and have a slight cigarette-smoke taste compared to the kona version <a href=""http://www.amazon.com/gp/product/b002m53gfc"">koppers chocolate covered kona coffee beans, 5-pound bag</a> that i really liked. my initial impression is that i'll probably have to give these ones away because i can't stand the cigarette smoke taste (i'd prefer my chocolate to taste like chocolate, and my coffee to taste like coffee). once again amazon just threw the 5-pound plastic bag into a cardboard box and it got ripped open a bit during shipment (but this time it didn't melt since it was shipped in the winter).",negative,positive,False,667,2
"it does not matter which kind you order from cornzapoppin, its going to be great!",positive,negative,False,81,4
"aweful, especially compared to their old four cheese queso, which our family loved. why would they drop the old four cheese?",negative,positive,False,124,1
"this is more like a brown gravy that a traditional au jus. we tried some for french dip sandwiches, and the result was a thick unappetizing mess",negative,positive,False,144,1
"greenies addiction is very real. the treats are nutritious and any cat will go bonkers over them. the downside is that your cat may very well stop eating his regular food. my cat litterally begs for greenies and even wakes me up when i'm sleeping. when i don't give him any, he goes off and mopes until he decides to try again. this whole issue has caused a lot of tension in our relationship, and i've decided to just go cold turkey. i just cancelled a $60 order of the treats. i want back my cat that loves me ... not the one who goes through the motions until i break down and give him treats. he no longer displays real affection.<br /><br />many, many people give their cats these treats, but do some searching online and you will see stories similar to mine. they don't call it ""kitty crack"" for nothing.<br /><br />best of luck.",negative,positive,False,835,1
"this was the first time ( and the last ) i've ordered rooibos from this supplier.<br />we drink this tea all the time and i've never had any that tasted like this bag.<br />it has a taste i'd describe as musty, like it had started to mildew' when they fermented it.<br />we tried making tea twice with it and do not consider it drinkable.",negative,positive,False,338,2
my husband and i both used this goji berry freeze dried product. we didn't notice any increase in our energy levels while taking it. as a matter of fact this product caused me severe intestional distress after taking it on two seperate occasions. my husband didn't experience any adverse side effects using this goji berry product. goji may be a superfood ranked right up there with acai berries; but you can't prove it by me.,negative,positive,False,426,1
"good product but i only received a single gel package instead of 24. the so called ""replacement"" package came with only 22 gel packs. and i was billed twice. obviously some kinks with distribution and customer care need to worked out.",negative,positive,False,234,1
"we fostered a dog and bought him a bunch of toys to keep him entertained while we were at work all day. some of the toys he loved, but this one scared him. the plastic is think and hard, so when he would roll it from side to side it made a loud noise from the impact on our hard floors.<br /><br />i think it would work better with carpeted homes. also, it can be pretty tricky for dogs to get the treats out, so i would say this is an 'advanced' toy.",negative,positive,False,451,2
