text_clean,true_label,pred_label,is_correct,text_length,Score
"i bought the coffee because i have bad reaction to regular coffee and this organic coffee was not a good fit.<br /><br /><a href=""http://www.amazon.com/gp/product/b001ell3cs"">the organic coffee co. sumatra whole bean coffee, 12-ounce bags (pack of 3)</a>",negative,positive,False,254,1
"this is just plain awful. it tastes like you went to a self serve bar in buffet and filled you cup with 1 tea to 3 waters. it has a slight hint of citrus / lemon flavor, and you have to stretch your taste bud imagination to even get a hint of tea. even after putting 10 of the mio it still had hardly any tea taste. we much prefer the mango <a href=""http://www.amazon.com/gp/product/b004e4ccsq"">mio liquid peach tea, 1.62-ounce, (pack of 4)</a> or <a href=""http://www.amazon.com/gp/product/b004e4ebmg"">mio mango peach, 1.62 ounce (pack of 4)</a>",negative,positive,False,545,1
i hope this may help others whose dogs love this treat like my fussy lhasa apso but she's nearly 16 yrs. old and i found she suddenly developed an insatiable thirst; which then caused so many frequent late night forays to go outside to relieve herself we lost hours of sleep. thinking it was her age we let it go for awhile then i decided to take her off the varied brands of dehydrated chicken breast (all without additives) and within a week she no longer empied bowls of water and had to go out all night long. it may react on her differently because of her age but for others who may experience this problem you may need to take your dog off this type of treat...i'm now using the purina chicken carvers (i know chemicals) but she no longer is having problems..go figure... i guess dogs are all different too huh?,negative,positive,False,817,1
"at first i was so excited about the beaba! i even called all my friends and raved about it. now after 10 months of use, i don't like to use it anymore. why? well because food particles end up stuck in the handle. the handle is made hallow so that the water can travel to the container and ""steam"" the food. this is a great idea, however, the beaba designers forgot one very important aspect: you can't remove the handle and take it apart to clean! food particles get stuck in the handle and there is no way to clean. i am a clean freak and i have tried everything to clean the handle. i even used toothpick to get into the small opening of the handle, but nothing worked.<br /><br />i now use a mini food processor and even if i have to steam veggies or fruit separately, the mini food processor is much stronger, can puree faster and make the food smoother.<br /><br />so yes, i loved it at first, but now i have fallen out of love. i used my beaba daily, so maybe if you won't use yours much, then, it might be a good choice, but if you plan to use it daily and plan to use it for a while, you will see what i mean about the little pieces of food stuck in the handle.",negative,positive,False,1169,2
"i have a 2.5 year old chocolate lab. she had eaten eukanuba her whole life. after reading some dog food reviews (this is rated much higher) and finding this comparable price wise i decided to make the switch. as with switching any food you should ween the dog off the old food by adding a mixture of the old and new or you will have a mess. she loves this food much more than the eukanuba. i would have rated the product 5 star but this food does give her awful gas (due to higher protein content, i think) and her breathe doesn't smell the best. i've been able to combat the breath with ""fresh breath"" dog treats. the gas can be helped, not solved, by an assortment of candles, sprays, etc. i will continue to buy this food and have it delivered to my house via amazon. loving this setup.<br /><br />update: i have since switched to purina one healthy weight. lab ended up gaining weight during the time she ate this food. has since lost 4 pounds in 3 weeks eating purina one. not loving this setup anymore.",negative,positive,False,1008,2
"let me start off by saying that i normally don't use artificial sweeteners, except for the occasional packet of stevia added to a fruit smoothie. if i have iced tea, i drink it unsweetened. i just couldn't handle the chemical aftertaste of mio sweet tea. my husband and kids drink a lot of sweet tea that we brew at home, so i wanted them to give this sugar free version a try. they didn't care for it either. my youngest son, however, does like the berry pomegranate flavor. maybe someone who is already accustomed to using artificial sweeteners would like this.",negative,positive,False,563,2
i was surprised with the unanimous good rating of this product. guests at our inn thought this is strictly a cereal for very young children. we were surprised that the cereal mix had a large percentage of corn flakes!!,negative,positive,False,218,2
"just make plain sweet potatoes. i can;t buy these because my dog is highly allergic to chicken, eggs and everything dairy.",negative,positive,False,122,1
"i just tried this for the first time this weekend. i was an artist at a festival and it was supplied to the musicians. i liked the taste ok (a little too sweet) but when i read that each can contains 28 grams of sugar, i think i know where everyone was getting their energy from. there's no need for so much sugar. mate is a great drink just plain and in my view, it's not a great plan to subvert all its health benefits with the equivalent of almost 3 krispy kreme donuts. i realize that a lot of people might not like it without all the sugar, but a lot of us would like it just fine unsweetened and our insulin levels and the size of our posteriors would thank guayaki. i would give an unsweetened version 5 stars.",negative,positive,False,717,2
"i drink this coffee like crack when in europe and always manage to bring a couple jars back with me. for instant coffee, the taste is superb - you don't want to drink anything else, but i can't justify paying this much for one small jar of instant coffee.<br /><br />completely agree with soldierman's review - the taste deserves 5 stars, and if you happen to find them while outside of the states, it probably would be cheaper to just buy a bunch and ship them back to yourself!<br /><br />for the time being, i'll hold myself over with 2 pack of the ground version from amazon and see how that compares ($20 for a total of 17.6 oz - about 500 grams), because my husband and i are seriously in withdrawal for that coffee. time to break out the coffee press! yes, it's that good.<br /><br />kraft owns this brand, you'd think they would release it in the states, too. :(",negative,positive,False,870,2
"we have bought earth's best organic baby food in a department store previously. after discovering our baby liked it, we went to amazon to compare prices and larger quantities.<br /><br />the baby food is great, no complaints at all. the packaging was sub par. the first thing we noticed was the exterior box wasnt taped or sealed ( it was a clamshell type box that folds over and you insert part of the box back into itself - anyone could have opened the package and closed it again). the jars are shrink wrapped with a cardboard base. the exterior packaging appears undamaged.<br /><br />inside there were broken jars of food - and grocery items are not returnable. we have contacted amazon's customer service and am waiting a response.",positive,negative,False,737,4
"not the best coffee, not the worst. if you get it on a super saver deal then it has more appeal but overall i think you are best off just paying more",negative,positive,False,149,2
"my 10 month old german shepherd loved it. and loved it so much that in about 5 minutes he was already chewing pieces off the thing. in exactly 45 minutes the damn thing was gone. my dog had eaten it all. i don't think it's going to hurt him, but this is not an everlasting treat at all, definitely not for 60 pound + dogs (my pup is a very strong 80 pound gsd - all muscles, no fat).",negative,positive,False,383,1
"busy buddy kibble nibble has been a great toy for my dog, but tug-a-jug was not. within 10 minutes, she had gnawed the ""challenge"" rope into 6 pieces. maybe it's good for an older dog but definitely not for my vigorously chewing 8-month-old puppy!",negative,positive,False,247,1
"started supplementing formula for my son at 10 months. i couldn't keep up with the demand. i tried enfamil and similac and my son would literally vomit after a few swigs. i would try to trick him, give him expressed breast milk in a bottle then switch to the enfamil. he would vomit the whole thing up after spending a couple of seconds gagging. i was really stressed out about what i was going to do next, just feed him what i could produce or try to find something else. after many hours of research, i settled on baby's first. i was going to get earth's best at first but was confused about the dha added to the formula. i gave my daughter enfamil with dha but didn't know there was controversy over the dha extraction process. i just thought i would skip the dha all together and try baby's first. the first night i gave it to him, he drank the whole bottle and proceeded to drink about 36 oz in addition to breastmilk in 24 hours. i know that's way too much but i just thought maybe he was really hungry from my lack of supply. now he drinks the normal amount. i make 16 oz of formula at one time and mix in about 8-12 oz of expressed breast milk. in the beginning, he would take 50% breast milk and 50% formula, now we are about 30/60. he doesn't seem to notice a difference between the two. he's been on it a month now.<br /><br />i know that there have been reviews about the formula not mixing in well, i don't have that problem. i don't think its anymore difficult or extra foamy compared to enfamil or similac. however, i do heat up about 16 oz of water then wisk in the 8 scoops of formula. i emailed to request scoops (which were not included in the first 3 cans i bought) but then i noticed that scoops were included in cans that were sent from amazon. i think they just started putting them in. another thing that i noticed was that baby's first smelled really good. i tried the enfamil and gagged myself, it really smells and taste awful. baby's first smells yummy, has vanilla in it. i gave it a 5 just because my son drinks it and doesn't give me any problems. plus, its cheaper than the other brands, which took me completely by surprise seeing how it is organic and not readily available. i found it at wholefoods, vitamin city, amazon and diapers.com.",positive,negative,False,2272,5
"in years past, i have eaten instant oatmeal for a quick, easy, hot breakfast when i am in a hurry. i have eaten various flavors including the brown sugar and maple flavor that was offered here. i have to say that this is not the same product that i am used to from years past.<br /><br />the maple flavor was bland and chemically, and although it was sweet-ish, i really couldn't detect the flavor of brown sugar. it did, however, have a significant amount of sugars in it. when i reviewed the nutritional information i was stunned at just how much sugar was present in the package.<br /><br />in addition, the portion sizes are almost comical. there is no way that one packet will serve adequately as a meal for breakfast. it requires, at a minimum, two packets to make a bowl of oatmeal that is sufficient for an average adult male. that provides a significant amount of your daily intake of sugars.<br /><br />i was not enamored with this product, and would not go out of my way to buy it in the future. however, as part of a variety pack, i would probably have it on hand for those days when i desire oatmeal, but do not have the time to cook it from scratch.",negative,positive,False,1163,2
i haven't used this enough yet to decide how i feel but so far so good. just need a little more time,negative,positive,False,100,2
"recipient received the basket and was very thankful. she stated that it was beautiful, appropriate, and very appreciated. however, she stated that there was no card included. (i asked if she received the basket to make sure.) i had included instructions for adding a gift message. i'm not sure what happened to it.",positive,negative,False,314,4
"i ordered these for my son for something new and he ate about 5 bites then refused the rest. we switched to a different flavor and he devoured 2 jars, so obviously there's something about this he does not like. he eats table food plus baby food and is 12 months, not sure where this went wrong but it's the first thing he's refused to eat.",negative,positive,False,339,1
"aweful, especially compared to their old four cheese queso, which our family loved. why would they drop the old four cheese?",negative,positive,False,124,1
"defintely not as tasty as the madhouse munchies which are my family's favorite. kettle's are dark/burnt,more broken bits, taste greasy-oily and not the light crunch. oh well.",negative,positive,False,174,1
"this is more like a brown gravy that a traditional au jus. we tried some for french dip sandwiches, and the result was a thick unappetizing mess",negative,positive,False,144,1
regular flavor budda bones are great for my dogs but they apparently do not care for the minty flavor on these.,negative,positive,False,111,1
"i bought from amazon in sept 09 for $26, now apri 10, price is $36. maybe time to buy jalapeno stock???<br /><br /><a href=""http://www.amazon.com/gp/product/b0012272jc"">la victoria hot jalapeno peppers diced, 4-ounce units (pack of 24)</a>",negative,positive,False,239,1
"for the cost of this product there are much better senchas out there. this steeps to brown, not green like they claim. low quality tea.",negative,positive,False,135,2
"greenies addiction is very real. the treats are nutritious and any cat will go bonkers over them. the downside is that your cat may very well stop eating his regular food. my cat litterally begs for greenies and even wakes me up when i'm sleeping. when i don't give him any, he goes off and mopes until he decides to try again. this whole issue has caused a lot of tension in our relationship, and i've decided to just go cold turkey. i just cancelled a $60 order of the treats. i want back my cat that loves me ... not the one who goes through the motions until i break down and give him treats. he no longer displays real affection.<br /><br />many, many people give their cats these treats, but do some searching online and you will see stories similar to mine. they don't call it ""kitty crack"" for nothing.<br /><br />best of luck.",negative,positive,False,835,1
my husband and i both used this goji berry freeze dried product. we didn't notice any increase in our energy levels while taking it. as a matter of fact this product caused me severe intestional distress after taking it on two seperate occasions. my husband didn't experience any adverse side effects using this goji berry product. goji may be a superfood ranked right up there with acai berries; but you can't prove it by me.,negative,positive,False,426,1
