text_clean,true_label,pred_label,is_correct,text_length,Score
"i love almond butter creamy no salt, saw this brand but the yellow top is the one that has added salt & sugar!<a href=""http://www.amazon.com/gp/product/b001htiudc"">sunbutter natural sunflower seed spread, 16-ounce plastic jars (pack of 6)</a><br />sometimes what i do i have tahini yum!!<a href=""http://www.amazon.com/gp/product/b001eo7ini"">roland tahini pure ground sesame seed, 32-ounce cans (pack of 2)</a><br />i crumble up <a href=""http://www.amazon.com/gp/product/b000fvum0c"">lundberg eco-farmed honey nut rice cake, 9.5-ounce units (pack of 12)</a><br />add these<a href=""http://www.amazon.com/gp/product/b002nwiqqi"">united with earth medjool dates, 16-ounce containers (pack of 4)</a><br />among other stuff candy ginger! great snack!!!<br />every once in awhile amazon has this one! i'm enjoying it!!!! :d yummmmmmy<br />added another star love this stuff<br />hope you can see the nutrition guide [...]<br />here's the link to their sitehttp :[...]",positive,negative,False,958,2
i was surprised with the unanimous good rating of this product. guests at our inn thought this is strictly a cereal for very young children. we were surprised that the cereal mix had a large percentage of corn flakes!!,negative,positive,False,218,2
"i just tried this for the first time this weekend. i was an artist at a festival and it was supplied to the musicians. i liked the taste ok (a little too sweet) but when i read that each can contains 28 grams of sugar, i think i know where everyone was getting their energy from. there's no need for so much sugar. mate is a great drink just plain and in my view, it's not a great plan to subvert all its health benefits with the equivalent of almost 3 krispy kreme donuts. i realize that a lot of people might not like it without all the sugar, but a lot of us would like it just fine unsweetened and our insulin levels and the size of our posteriors would thank guayaki. i would give an unsweetened version 5 stars.",negative,positive,False,717,5
"i drink this coffee like crack when in europe and always manage to bring a couple jars back with me. for instant coffee, the taste is superb - you don't want to drink anything else, but i can't justify paying this much for one small jar of instant coffee.<br /><br />completely agree with soldierman's review - the taste deserves 5 stars, and if you happen to find them while outside of the states, it probably would be cheaper to just buy a bunch and ship them back to yourself!<br /><br />for the time being, i'll hold myself over with 2 pack of the ground version from amazon and see how that compares ($20 for a total of 17.6 oz - about 500 grams), because my husband and i are seriously in withdrawal for that coffee. time to break out the coffee press! yes, it's that good.<br /><br />kraft owns this brand, you'd think they would release it in the states, too. :(",negative,positive,False,870,5
"not the best coffee, not the worst. if you get it on a super saver deal then it has more appeal but overall i think you are best off just paying more",negative,positive,False,149,4
"i still do not understand all the hype on franks hot sauce. it has a very strong biting taste that is not very desirable. i went out looking for a new wing sauce and came across ashanti chicken wing sauce. it was everything i was looking for, heat and incredible flavor. i do not have to look anymore, i found the perfect sauce.",positive,negative,False,328,5
i haven't used this enough yet to decide how i feel but so far so good. just need a little more time,negative,positive,False,100,5
"the chocolate layer on these expresso beans is much thicker, softer, and have a slight cigarette-smoke taste compared to the kona version <a href=""http://www.amazon.com/gp/product/b002m53gfc"">koppers chocolate covered kona coffee beans, 5-pound bag</a> that i really liked. my initial impression is that i'll probably have to give these ones away because i can't stand the cigarette smoke taste (i'd prefer my chocolate to taste like chocolate, and my coffee to taste like coffee). once again amazon just threw the 5-pound plastic bag into a cardboard box and it got ripped open a bit during shipment (but this time it didn't melt since it was shipped in the winter).",negative,positive,False,667,5
"i bought these to try - i love potatoes and garlic so i figured it'd be a good combination. i can't agree with the reviewers who say there is too much garlic. it's barely a hit and they are certianly not salty. i'm wondering if the reviewer who found them too salty didn't blend the product sufficiently. as for garlic overload, i think only someone who doesn't like garlic much might find them unsavory. i've discovered that there are people who claim to not like something so when they know there is even a hint of it they over-dramatize it. nevertheless, the potatoes are delicious and go wonderfully with salmon and salad. if you find them a little over flavored i'd suggest getting a regular potato mix and blending the two together :)",positive,negative,False,740,1
"greenies addiction is very real. the treats are nutritious and any cat will go bonkers over them. the downside is that your cat may very well stop eating his regular food. my cat litterally begs for greenies and even wakes me up when i'm sleeping. when i don't give him any, he goes off and mopes until he decides to try again. this whole issue has caused a lot of tension in our relationship, and i've decided to just go cold turkey. i just cancelled a $60 order of the treats. i want back my cat that loves me ... not the one who goes through the motions until i break down and give him treats. he no longer displays real affection.<br /><br />many, many people give their cats these treats, but do some searching online and you will see stories similar to mine. they don't call it ""kitty crack"" for nothing.<br /><br />best of luck.",negative,positive,False,835,4
