text_clean,true_label,pred_label,is_correct,text_length,Score
this product is no longer sold locally & i was excited to find someone to provide it for me. fast shipment and i'm sure i'll be a repeat customer! thanks,positive,negative,False,153,5
"i really like the taste of this milk, but find it too expensive for my everyday use. i am returning to saco.",positive,negative,False,108,4
i was surprised with the unanimous good rating of this product. guests at our inn thought this is strictly a cereal for very young children. we were surprised that the cereal mix had a large percentage of corn flakes!!,negative,positive,False,218,2
"i just tried this for the first time this weekend. i was an artist at a festival and it was supplied to the musicians. i liked the taste ok (a little too sweet) but when i read that each can contains 28 grams of sugar, i think i know where everyone was getting their energy from. there's no need for so much sugar. mate is a great drink just plain and in my view, it's not a great plan to subvert all its health benefits with the equivalent of almost 3 krispy kreme donuts. i realize that a lot of people might not like it without all the sugar, but a lot of us would like it just fine unsweetened and our insulin levels and the size of our posteriors would thank guayaki. i would give an unsweetened version 5 stars.",negative,positive,False,717,2
"we have bought earth's best organic baby food in a department store previously. after discovering our baby liked it, we went to amazon to compare prices and larger quantities.<br /><br />the baby food is great, no complaints at all. the packaging was sub par. the first thing we noticed was the exterior box wasnt taped or sealed ( it was a clamshell type box that folds over and you insert part of the box back into itself - anyone could have opened the package and closed it again). the jars are shrink wrapped with a cardboard base. the exterior packaging appears undamaged.<br /><br />inside there were broken jars of food - and grocery items are not returnable. we have contacted amazon's customer service and am waiting a response.",positive,negative,False,737,4
after buying the jamaican blue mountain i wanted to try some of the other coffees. i was not disappointed this french<br />roast if as good as the one i bought last time. i would recommend the coffee regardless of what your favorite might be.,positive,negative,False,242,5
"i still do not understand all the hype on franks hot sauce. it has a very strong biting taste that is not very desirable. i went out looking for a new wing sauce and came across ashanti chicken wing sauce. it was everything i was looking for, heat and incredible flavor. i do not have to look anymore, i found the perfect sauce.",positive,negative,False,328,5
"started supplementing formula for my son at 10 months. i couldn't keep up with the demand. i tried enfamil and similac and my son would literally vomit after a few swigs. i would try to trick him, give him expressed breast milk in a bottle then switch to the enfamil. he would vomit the whole thing up after spending a couple of seconds gagging. i was really stressed out about what i was going to do next, just feed him what i could produce or try to find something else. after many hours of research, i settled on baby's first. i was going to get earth's best at first but was confused about the dha added to the formula. i gave my daughter enfamil with dha but didn't know there was controversy over the dha extraction process. i just thought i would skip the dha all together and try baby's first. the first night i gave it to him, he drank the whole bottle and proceeded to drink about 36 oz in addition to breastmilk in 24 hours. i know that's way too much but i just thought maybe he was really hungry from my lack of supply. now he drinks the normal amount. i make 16 oz of formula at one time and mix in about 8-12 oz of expressed breast milk. in the beginning, he would take 50% breast milk and 50% formula, now we are about 30/60. he doesn't seem to notice a difference between the two. he's been on it a month now.<br /><br />i know that there have been reviews about the formula not mixing in well, i don't have that problem. i don't think its anymore difficult or extra foamy compared to enfamil or similac. however, i do heat up about 16 oz of water then wisk in the 8 scoops of formula. i emailed to request scoops (which were not included in the first 3 cans i bought) but then i noticed that scoops were included in cans that were sent from amazon. i think they just started putting them in. another thing that i noticed was that baby's first smelled really good. i tried the enfamil and gagged myself, it really smells and taste awful. baby's first smells yummy, has vanilla in it. i gave it a 5 just because my son drinks it and doesn't give me any problems. plus, its cheaper than the other brands, which took me completely by surprise seeing how it is organic and not readily available. i found it at wholefoods, vitamin city, amazon and diapers.com.",positive,negative,False,2272,5
"these don't taste like good for you food, but they are. my 2 year old loves them. i wanted to clarify something written in one of the other reviews - that these bars do not contain hydrogenated oil. they contained hydrolyzed whey protein (i had to check it out for myself, as i certainly want to avoid bad oils). here is the link to the nutritional information [...]",positive,negative,False,366,5
i haven't used this enough yet to decide how i feel but so far so good. just need a little more time,negative,positive,False,100,2
"recipient received the basket and was very thankful. she stated that it was beautiful, appropriate, and very appreciated. however, she stated that there was no card included. (i asked if she received the basket to make sure.) i had included instructions for adding a gift message. i'm not sure what happened to it.",positive,negative,False,314,4
"im station in s.korea, everytime i wanted some ""mothers taffy cookie"" i would call my mother (usa,ca) to send me a boxes of cookies. so one day i looked on line and found a pack of ""mtc"" for cheap i was like yes lol!!! they said my cookies would take up to a month to get here it got here to my duty station in less than a week i was so greatful!!! i still have two packs left plus i gave one away to a battle buddy of mine!!!",positive,negative,False,426,5
"it does not matter which kind you order from cornzapoppin, its going to be great!",positive,negative,False,81,4
"these bring back childhood memories growing up in canada. i love old dutch popcorn twists and these tings are just like it -- only healthier, i guess.<br /><br />i'm not familiar to the cheesy-poof references in the other reviews because there is no cheese associated with tings, but maybe there just isn't a similar product to compare it to.<br /><br />while proper for my personal tastes, i can forsee this being a little on the salty side for others. for those familiar with the other products from american gourmet, i had some chaos chips/pretzel mix and found those to be rather bland.",positive,negative,False,590,5
