text_clean,true_label,pred_label,is_correct,text_length,Score
i hope this may help others whose dogs love this treat like my fussy lhasa apso but she's nearly 16 yrs. old and i found she suddenly developed an insatiable thirst; which then caused so many frequent late night forays to go outside to relieve herself we lost hours of sleep. thinking it was her age we let it go for awhile then i decided to take her off the varied brands of dehydrated chicken breast (all without additives) and within a week she no longer empied bowls of water and had to go out all night long. it may react on her differently because of her age but for others who may experience this problem you may need to take your dog off this type of treat...i'm now using the purina chicken carvers (i know chemicals) but she no longer is having problems..go figure... i guess dogs are all different too huh?,negative,positive,False,817,1
"at first i was so excited about the beaba! i even called all my friends and raved about it. now after 10 months of use, i don't like to use it anymore. why? well because food particles end up stuck in the handle. the handle is made hallow so that the water can travel to the container and ""steam"" the food. this is a great idea, however, the beaba designers forgot one very important aspect: you can't remove the handle and take it apart to clean! food particles get stuck in the handle and there is no way to clean. i am a clean freak and i have tried everything to clean the handle. i even used toothpick to get into the small opening of the handle, but nothing worked.<br /><br />i now use a mini food processor and even if i have to steam veggies or fruit separately, the mini food processor is much stronger, can puree faster and make the food smoother.<br /><br />so yes, i loved it at first, but now i have fallen out of love. i used my beaba daily, so maybe if you won't use yours much, then, it might be a good choice, but if you plan to use it daily and plan to use it for a while, you will see what i mean about the little pieces of food stuck in the handle.",negative,positive,False,1169,2
"i have a 2.5 year old chocolate lab. she had eaten eukanuba her whole life. after reading some dog food reviews (this is rated much higher) and finding this comparable price wise i decided to make the switch. as with switching any food you should ween the dog off the old food by adding a mixture of the old and new or you will have a mess. she loves this food much more than the eukanuba. i would have rated the product 5 star but this food does give her awful gas (due to higher protein content, i think) and her breathe doesn't smell the best. i've been able to combat the breath with ""fresh breath"" dog treats. the gas can be helped, not solved, by an assortment of candles, sprays, etc. i will continue to buy this food and have it delivered to my house via amazon. loving this setup.<br /><br />update: i have since switched to purina one healthy weight. lab ended up gaining weight during the time she ate this food. has since lost 4 pounds in 3 weeks eating purina one. not loving this setup anymore.",negative,positive,False,1008,2
"let me start off by saying that i normally don't use artificial sweeteners, except for the occasional packet of stevia added to a fruit smoothie. if i have iced tea, i drink it unsweetened. i just couldn't handle the chemical aftertaste of mio sweet tea. my husband and kids drink a lot of sweet tea that we brew at home, so i wanted them to give this sugar free version a try. they didn't care for it either. my youngest son, however, does like the berry pomegranate flavor. maybe someone who is already accustomed to using artificial sweeteners would like this.",negative,positive,False,563,2
i was surprised with the unanimous good rating of this product. guests at our inn thought this is strictly a cereal for very young children. we were surprised that the cereal mix had a large percentage of corn flakes!!,negative,positive,False,218,2
"just make plain sweet potatoes. i can;t buy these because my dog is highly allergic to chicken, eggs and everything dairy.",negative,positive,False,122,1
"i just tried this for the first time this weekend. i was an artist at a festival and it was supplied to the musicians. i liked the taste ok (a little too sweet) but when i read that each can contains 28 grams of sugar, i think i know where everyone was getting their energy from. there's no need for so much sugar. mate is a great drink just plain and in my view, it's not a great plan to subvert all its health benefits with the equivalent of almost 3 krispy kreme donuts. i realize that a lot of people might not like it without all the sugar, but a lot of us would like it just fine unsweetened and our insulin levels and the size of our posteriors would thank guayaki. i would give an unsweetened version 5 stars.",negative,positive,False,717,2
the cans arrived all banged up. i will never order from this company again.,negative,positive,False,75,1
"i drink this coffee like crack when in europe and always manage to bring a couple jars back with me. for instant coffee, the taste is superb - you don't want to drink anything else, but i can't justify paying this much for one small jar of instant coffee.<br /><br />completely agree with soldierman's review - the taste deserves 5 stars, and if you happen to find them while outside of the states, it probably would be cheaper to just buy a bunch and ship them back to yourself!<br /><br />for the time being, i'll hold myself over with 2 pack of the ground version from amazon and see how that compares ($20 for a total of 17.6 oz - about 500 grams), because my husband and i are seriously in withdrawal for that coffee. time to break out the coffee press! yes, it's that good.<br /><br />kraft owns this brand, you'd think they would release it in the states, too. :(",negative,positive,False,870,2
"not the best coffee, not the worst. if you get it on a super saver deal then it has more appeal but overall i think you are best off just paying more",negative,positive,False,149,2
