text_clean,true_label,pred_label,is_correct,text_length,Score
"this is just plain awful. it tastes like you went to a self serve bar in buffet and filled you cup with 1 tea to 3 waters. it has a slight hint of citrus / lemon flavor, and you have to stretch your taste bud imagination to even get a hint of tea. even after putting 10 of the mio it still had hardly any tea taste. we much prefer the mango <a href=""http://www.amazon.com/gp/product/b004e4ccsq"">mio liquid peach tea, 1.62-ounce, (pack of 4)</a> or <a href=""http://www.amazon.com/gp/product/b004e4ebmg"">mio mango peach, 1.62 ounce (pack of 4)</a>",negative,positive,False,545,1
"at first i was so excited about the beaba! i even called all my friends and raved about it. now after 10 months of use, i don't like to use it anymore. why? well because food particles end up stuck in the handle. the handle is made hallow so that the water can travel to the container and ""steam"" the food. this is a great idea, however, the beaba designers forgot one very important aspect: you can't remove the handle and take it apart to clean! food particles get stuck in the handle and there is no way to clean. i am a clean freak and i have tried everything to clean the handle. i even used toothpick to get into the small opening of the handle, but nothing worked.<br /><br />i now use a mini food processor and even if i have to steam veggies or fruit separately, the mini food processor is much stronger, can puree faster and make the food smoother.<br /><br />so yes, i loved it at first, but now i have fallen out of love. i used my beaba daily, so maybe if you won't use yours much, then, it might be a good choice, but if you plan to use it daily and plan to use it for a while, you will see what i mean about the little pieces of food stuck in the handle.",negative,positive,False,1169,2
"let me start off by saying that i normally don't use artificial sweeteners, except for the occasional packet of stevia added to a fruit smoothie. if i have iced tea, i drink it unsweetened. i just couldn't handle the chemical aftertaste of mio sweet tea. my husband and kids drink a lot of sweet tea that we brew at home, so i wanted them to give this sugar free version a try. they didn't care for it either. my youngest son, however, does like the berry pomegranate flavor. maybe someone who is already accustomed to using artificial sweeteners would like this.",negative,positive,False,563,2
i was surprised with the unanimous good rating of this product. guests at our inn thought this is strictly a cereal for very young children. we were surprised that the cereal mix had a large percentage of corn flakes!!,negative,positive,False,218,2
"i just tried this for the first time this weekend. i was an artist at a festival and it was supplied to the musicians. i liked the taste ok (a little too sweet) but when i read that each can contains 28 grams of sugar, i think i know where everyone was getting their energy from. there's no need for so much sugar. mate is a great drink just plain and in my view, it's not a great plan to subvert all its health benefits with the equivalent of almost 3 krispy kreme donuts. i realize that a lot of people might not like it without all the sugar, but a lot of us would like it just fine unsweetened and our insulin levels and the size of our posteriors would thank guayaki. i would give an unsweetened version 5 stars.",negative,positive,False,717,2
"i drink this coffee like crack when in europe and always manage to bring a couple jars back with me. for instant coffee, the taste is superb - you don't want to drink anything else, but i can't justify paying this much for one small jar of instant coffee.<br /><br />completely agree with soldierman's review - the taste deserves 5 stars, and if you happen to find them while outside of the states, it probably would be cheaper to just buy a bunch and ship them back to yourself!<br /><br />for the time being, i'll hold myself over with 2 pack of the ground version from amazon and see how that compares ($20 for a total of 17.6 oz - about 500 grams), because my husband and i are seriously in withdrawal for that coffee. time to break out the coffee press! yes, it's that good.<br /><br />kraft owns this brand, you'd think they would release it in the states, too. :(",negative,positive,False,870,2
"not the best coffee, not the worst. if you get it on a super saver deal then it has more appeal but overall i think you are best off just paying more",negative,positive,False,149,2
"my 10 month old german shepherd loved it. and loved it so much that in about 5 minutes he was already chewing pieces off the thing. in exactly 45 minutes the damn thing was gone. my dog had eaten it all. i don't think it's going to hurt him, but this is not an everlasting treat at all, definitely not for 60 pound + dogs (my pup is a very strong 80 pound gsd - all muscles, no fat).",negative,positive,False,383,1
"i bought a lot of boxes of vita coco from amazon these past few months due to the sale/special offers lately. 2 boxes (both were the small size) tasted great! (1 carton had a weird taste).<br /><br />i said whatever and bought the larger size. yuck! i drank the first two and they tasted sour. i compared them side by side with the other vita coco i had (the smaller cartons) and these taste really different. i opened a few more to try, and some were okay, and others sour.<br /><br />ugh. i don't care how good some of these boxes are! if they vary this much, it's not worth it to me to try again.<br /><br />*edited to add:<br />i emailed vita coco and told them about this and they told me they had a bad batch. the rep then mailed me a free box of 12 cartons. this batch was good! (they sent me some funky flavors instead of the original though...still nice of them).",negative,positive,False,872,2
"busy buddy kibble nibble has been a great toy for my dog, but tug-a-jug was not. within 10 minutes, she had gnawed the ""challenge"" rope into 6 pieces. maybe it's good for an older dog but definitely not for my vigorously chewing 8-month-old puppy!",negative,positive,False,247,1
