text_clean,true_label,pred_label,is_correct,text_length,Score
"i have a 2.5 year old chocolate lab. she had eaten eukanuba her whole life. after reading some dog food reviews (this is rated much higher) and finding this comparable price wise i decided to make the switch. as with switching any food you should ween the dog off the old food by adding a mixture of the old and new or you will have a mess. she loves this food much more than the eukanuba. i would have rated the product 5 star but this food does give her awful gas (due to higher protein content, i think) and her breathe doesn't smell the best. i've been able to combat the breath with ""fresh breath"" dog treats. the gas can be helped, not solved, by an assortment of candles, sprays, etc. i will continue to buy this food and have it delivered to my house via amazon. loving this setup.<br /><br />update: i have since switched to purina one healthy weight. lab ended up gaining weight during the time she ate this food. has since lost 4 pounds in 3 weeks eating purina one. not loving this setup anymore.",negative,positive,False,1008,2
i was surprised with the unanimous good rating of this product. guests at our inn thought this is strictly a cereal for very young children. we were surprised that the cereal mix had a large percentage of corn flakes!!,negative,positive,False,218,2
"just make plain sweet potatoes. i can;t buy these because my dog is highly allergic to chicken, eggs and everything dairy.",negative,positive,False,122,1
"i just tried this for the first time this weekend. i was an artist at a festival and it was supplied to the musicians. i liked the taste ok (a little too sweet) but when i read that each can contains 28 grams of sugar, i think i know where everyone was getting their energy from. there's no need for so much sugar. mate is a great drink just plain and in my view, it's not a great plan to subvert all its health benefits with the equivalent of almost 3 krispy kreme donuts. i realize that a lot of people might not like it without all the sugar, but a lot of us would like it just fine unsweetened and our insulin levels and the size of our posteriors would thank guayaki. i would give an unsweetened version 5 stars.",negative,positive,False,717,2
"i drink this coffee like crack when in europe and always manage to bring a couple jars back with me. for instant coffee, the taste is superb - you don't want to drink anything else, but i can't justify paying this much for one small jar of instant coffee.<br /><br />completely agree with soldierman's review - the taste deserves 5 stars, and if you happen to find them while outside of the states, it probably would be cheaper to just buy a bunch and ship them back to yourself!<br /><br />for the time being, i'll hold myself over with 2 pack of the ground version from amazon and see how that compares ($20 for a total of 17.6 oz - about 500 grams), because my husband and i are seriously in withdrawal for that coffee. time to break out the coffee press! yes, it's that good.<br /><br />kraft owns this brand, you'd think they would release it in the states, too. :(",negative,positive,False,870,2
"i still do not understand all the hype on franks hot sauce. it has a very strong biting taste that is not very desirable. i went out looking for a new wing sauce and came across ashanti chicken wing sauce. it was everything i was looking for, heat and incredible flavor. i do not have to look anymore, i found the perfect sauce.",positive,negative,False,328,5
"started supplementing formula for my son at 10 months. i couldn't keep up with the demand. i tried enfamil and similac and my son would literally vomit after a few swigs. i would try to trick him, give him expressed breast milk in a bottle then switch to the enfamil. he would vomit the whole thing up after spending a couple of seconds gagging. i was really stressed out about what i was going to do next, just feed him what i could produce or try to find something else. after many hours of research, i settled on baby's first. i was going to get earth's best at first but was confused about the dha added to the formula. i gave my daughter enfamil with dha but didn't know there was controversy over the dha extraction process. i just thought i would skip the dha all together and try baby's first. the first night i gave it to him, he drank the whole bottle and proceeded to drink about 36 oz in addition to breastmilk in 24 hours. i know that's way too much but i just thought maybe he was really hungry from my lack of supply. now he drinks the normal amount. i make 16 oz of formula at one time and mix in about 8-12 oz of expressed breast milk. in the beginning, he would take 50% breast milk and 50% formula, now we are about 30/60. he doesn't seem to notice a difference between the two. he's been on it a month now.<br /><br />i know that there have been reviews about the formula not mixing in well, i don't have that problem. i don't think its anymore difficult or extra foamy compared to enfamil or similac. however, i do heat up about 16 oz of water then wisk in the 8 scoops of formula. i emailed to request scoops (which were not included in the first 3 cans i bought) but then i noticed that scoops were included in cans that were sent from amazon. i think they just started putting them in. another thing that i noticed was that baby's first smelled really good. i tried the enfamil and gagged myself, it really smells and taste awful. baby's first smells yummy, has vanilla in it. i gave it a 5 just because my son drinks it and doesn't give me any problems. plus, its cheaper than the other brands, which took me completely by surprise seeing how it is organic and not readily available. i found it at wholefoods, vitamin city, amazon and diapers.com.",positive,negative,False,2272,5
i haven't used this enough yet to decide how i feel but so far so good. just need a little more time,negative,positive,False,100,2
"i ordered these for my son for something new and he ate about 5 bites then refused the rest. we switched to a different flavor and he devoured 2 jars, so obviously there's something about this he does not like. he eats table food plus baby food and is 12 months, not sure where this went wrong but it's the first thing he's refused to eat.",negative,positive,False,339,1
"it does not matter which kind you order from cornzapoppin, its going to be great!",positive,negative,False,81,4
it never ceases to amaze me that you brits eat this horrific dog food-paste.<br /><br />no wonder you lost the revolutionary war.<br /><br />it's clear from you eating marmite and vegamite that you never deserved those colonies anyway.,negative,positive,False,235,1
"aweful, especially compared to their old four cheese queso, which our family loved. why would they drop the old four cheese?",negative,positive,False,124,1
"i bought these to try - i love potatoes and garlic so i figured it'd be a good combination. i can't agree with the reviewers who say there is too much garlic. it's barely a hit and they are certianly not salty. i'm wondering if the reviewer who found them too salty didn't blend the product sufficiently. as for garlic overload, i think only someone who doesn't like garlic much might find them unsavory. i've discovered that there are people who claim to not like something so when they know there is even a hint of it they over-dramatize it. nevertheless, the potatoes are delicious and go wonderfully with salmon and salad. if you find them a little over flavored i'd suggest getting a regular potato mix and blending the two together :)",positive,negative,False,740,5
"this is more like a brown gravy that a traditional au jus. we tried some for french dip sandwiches, and the result was a thick unappetizing mess",negative,positive,False,144,1
"greenies addiction is very real. the treats are nutritious and any cat will go bonkers over them. the downside is that your cat may very well stop eating his regular food. my cat litterally begs for greenies and even wakes me up when i'm sleeping. when i don't give him any, he goes off and mopes until he decides to try again. this whole issue has caused a lot of tension in our relationship, and i've decided to just go cold turkey. i just cancelled a $60 order of the treats. i want back my cat that loves me ... not the one who goes through the motions until i break down and give him treats. he no longer displays real affection.<br /><br />many, many people give their cats these treats, but do some searching online and you will see stories similar to mine. they don't call it ""kitty crack"" for nothing.<br /><br />best of luck.",negative,positive,False,835,1
my husband and i both used this goji berry freeze dried product. we didn't notice any increase in our energy levels while taking it. as a matter of fact this product caused me severe intestional distress after taking it on two seperate occasions. my husband didn't experience any adverse side effects using this goji berry product. goji may be a superfood ranked right up there with acai berries; but you can't prove it by me.,negative,positive,False,426,1
"good product but i only received a single gel package instead of 24. the so called ""replacement"" package came with only 22 gel packs. and i was billed twice. obviously some kinks with distribution and customer care need to worked out.",negative,positive,False,234,1
"we fostered a dog and bought him a bunch of toys to keep him entertained while we were at work all day. some of the toys he loved, but this one scared him. the plastic is think and hard, so when he would roll it from side to side it made a loud noise from the impact on our hard floors.<br /><br />i think it would work better with carpeted homes. also, it can be pretty tricky for dogs to get the treats out, so i would say this is an 'advanced' toy.",negative,positive,False,451,2
"this wafer is in very cute package. however, in my opinion, it contains few cream inside and could not feel it tasty. if combined with champagne, the taste became better but not very good. as i may give this as a gift to couple or family including non-drinker, i wanted this wafaer taste good without champagne.",negative,positive,False,311,1
it's a great cake moist and rummy!!! but when it got to me it was moldyy i had it before for christmas from a gift basket this time i ordered it through amazon and it came in moldyy i had to throw it away what a tragic waste!,negative,positive,False,225,1
